GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
im-sdk-core,com.easemob.im.server.api.loadbalance,GetDnsConfigResponse.ServiceRecord,0,38,0,2,0,9,0,3,0,2
im-sdk-core,com.easemob.im.server.api.loadbalance,EndPointProviderSelector,40,0,4,0,8,0,4,0,2,0
im-sdk-core,com.easemob.im.server.api.loadbalance,FixedEndpointProvider,18,36,2,2,3,8,2,3,0,3
im-sdk-core,com.easemob.im.server.api.loadbalance,GetDnsConfigResponse,0,16,0,0,0,6,0,2,0,2
im-sdk-core,com.easemob.im.server.api.loadbalance,UniformRandomLoadBalancer,19,0,2,0,4,0,3,0,2,0
im-sdk-core,com.easemob.im.server.api.loadbalance,TimedRefreshEndpointRegistry,6,24,0,0,2,7,2,4,2,4
im-sdk-core,com.easemob.im.server.api.loadbalance,GetDnsConfigResponse.Service,0,15,0,0,0,6,0,2,0,2
im-sdk-core,com.easemob.im.server.api.loadbalance,DnsConfigEndpointProvider,0,53,0,0,0,11,0,4,0,4
im-sdk-core,com.easemob.im.server.api.loadbalance,Endpoint,75,69,7,7,7,11,10,3,3,3
im-sdk-core,com.easemob.im.server.api.token.allocate,UserTokenRequest,10,36,4,4,2,11,4,5,0,5
im-sdk-core,com.easemob.im.server.api.token.allocate,TokenResponse,0,29,0,0,0,7,0,3,0,3
im-sdk-core,com.easemob.im.server.api.token.allocate,DefaultTokenProvider,6,130,0,0,2,24,2,10,2,10
im-sdk-core,com.easemob.im.server.api.token.allocate,AppTokenRequest,0,18,0,0,0,6,0,2,0,2
im-sdk-core,com.easemob.im.server.api.block,BlockApi,148,0,0,0,27,0,18,0,18,0
im-sdk-core,com.easemob.im.server.api,DefaultHttpClient,97,0,6,0,15,0,9,0,6,0
im-sdk-core,com.easemob.im.server.api,DefaultContext,186,0,6,0,27,0,14,0,11,0
im-sdk-core,com.easemob.im.server.api,BearerAuthorization,20,6,0,0,2,3,2,1,2,1
im-sdk-core,com.easemob.im.server.api,DefaultErrorMapper,65,85,18,10,14,15,13,4,0,3
im-sdk-core,com.easemob.im.server.api.room.member.remove,RemoveRoomMember,7,62,1,1,2,12,1,6,0,6
im-sdk-core,com.easemob.im.server.api.room.member.remove,RemoveRoomMemberResponse.Wrapper,0,9,0,0,0,4,0,2,0,2
im-sdk-core,com.easemob.im.server.api.room.member.remove,RemoveRoomMemberResponse,1,16,2,2,0,4,2,2,0,2
im-sdk-core,com.easemob.im.server.api.sms,SmsApi,18,0,0,0,4,0,2,0,2,0
im-sdk-core,com.easemob.im.server.api.block.room.msg.block,BlockUserSendMsgToRoom,0,84,0,2,0,15,0,8,0,7
im-sdk-core,com.easemob.im.server.api.block.room.msg.block,BlockUserSendMsgToRoomResponse.BlockResult,3,15,0,0,1,6,1,2,1,2
im-sdk-core,com.easemob.im.server.api.block.room.msg.block,BlockUserSendMsgToRoomResponse,0,30,0,0,0,8,0,4,0,4
im-sdk-core,com.easemob.im.server.api.block.room.msg.block,BlockUserSendMsgToRoomRequest,0,28,0,2,0,7,0,3,0,2
im-sdk-core,com.easemob.im.server.api.block.group.join,UnblockUserJoinGroupResponse,1,16,2,2,0,4,2,2,0,2
